tweet_id,Number_of_Likes,retweet_count
843235543001513987,21377,5976
842846295480000512,15200,3613
842765311967449089,6691,1268
842535590457499648,18008,3479
842163532590374912,24324,5751
842115215311396866,13910,3012
841833993020538882,0,14978
841680585030541313,25618,7762
841439858740625411,12599,3667
841320156043304961,19727,5474
841314665196081154,15787,4625
841077006473256960,22797,5283
840761248237133825,0,1758
840728873075638272,0,16055
840698636975636481,174,2
840696689258311684,12250,967
840632337062862849,8973,1758
840370681858686976,16409,4520
840268004936019968,19205,5701
839990271299457024,13386,2268
839549326359670784,27415,7716
839290600511926273,0,143
839239871831150596,27057,6513
838952994649550848,19620,3988
838921590096166913,11135,2059
838916489579200512,0,35
838831947270979586,0,10981
838561493054533637,10932,1334
838476387338051585,22481,4765
838201503651401729,0,10039
838150277551247360,1672,332
838085839343206401,138,1
838083903487373313,17611,3130
837820167694528512,34128,7846
837482249356513284,3849,442
837471256429613056,12806,2275
837110210464448512,16079,2365
836989968035819520,12779,2293
836753516572119041,19327,4640
836677758902222849,12619,2227
836648853927522308,0,555
836397794269200385,0,27515
836380477523124226,14775,2992
836260088725786625,21332,4307
836001077879255040,19104,4267
835685285446955009,0,8138
835574547218894849,17818,3627
835536468978302976,0,1701
835309094223372289,0,20969
835297930240217089,16509,3022
835264098648616962,7753,1701
835246439529840640,2104,73
835172783151792128,26223,5779
835152434251116546,22434,3023
834931633769889797,10824,1649
834786237630337024,21402,5512
834574053763584002,13695,2547
834477809192075265,0,10680
834458053273591808,9638,1689
834209720923721728,20672,4767
834167344700198914,15864,3671
834089966724603904,10080,2147
834086379323871233,13112,2217
833863086058651648,13471,2418
833826103416520705,18098,3790
833732339549220864,0,222
833722901757046785,20874,3232
833479644947025920,14883,2058
833124694597443584,20268,4861
832998151111966721,13302,2214
832769181346996225,0,39
832757312314028032,16920,3643
832682457690300417,11929,2932
832645525019123713,2942,532
832636094638288896,15910,2802
832397543355072512,12009,2230
832369877331693569,17245,3208
832273440279240704,11398,2350
832215909146226688,0,6238
832215726631055365,0,9388
832088576586297345,62,2
832040443403784192,0,9682
832032802820481025,17958,4682
831939777352105988,24109,6168
831926988323639298,337,34
831911600680497154,27756,6543
831670449226514432,10496,1833
831650051525054464,7183,1937
831552930092285952,9013,2326
831322785565769729,9324,1563
831315979191906304,6578,1134
831309418084069378,11817,2481
831262627380748289,11974,2064
830956169170665475,8014,1508
830583320585068544,67232,16891
830173239259324417,0,5718
830097400375152640,9861,2972
829878982036299777,0,5055
829861396166877184,12300,1963
829501995190984704,31944,10680
829449946868879360,10527,2041
829141528400556032,24553,7409
829011960981237760,53435,16426
828801551087042563,0,3444
828770345708580865,25734,5918
828708714936930305,36732,11271
828650029636317184,9576,1361
828409743546925057,6387,1174
828408677031882754,7722,1304
828381636999917570,12663,2230
828376505180889089,7430,1082
828372645993398273,12635,2968
828361771580813312,2213,173
828046555563323392,11825,2895
828011680017821696,10419,2167
827933404142436356,20252,5293
827653905312006145,15611,3040
827600520311402496,7500,952
827324948884643840,15982,3080
827199976799354881,10663,2241
826958653328592898,21736,5055
826848821049180160,36644,10269
826615380357632002,0,4028
826598799820865537,5151,255
826598365270007810,10129,2368
826476773533745153,18546,4233
826240494070030336,13405,2634
826204788643753985,4914,934
826115272272650244,15793,3170
825876512159186944,10562,1894
825829644528148480,12829,2517
825535076884762624,57308,17714
825147591692263424,18485,4592
825120256414846976,0,1277
825026590719483904,6362,1277
824796380199809024,0,5556
824775126675836928,15060,3562
824663926340194305,10612,1790
824325613288833024,11935,10636
824297048279236611,15212,3915
824025158776213504,4869,604
823939628516474880,10719,2738
823719002937630720,0,11341
823699002998870016,14142,2553
823581115634085888,13154,2657
823333489516937216,706,25
823322678127919110,15884,4083
823269594223824897,0,10016
822975315408461824,17481,3496
822872901745569793,132957,43818
822859134160621569,13410,2311
822647212903690241,0,6492
822610361945911296,14965,2997
822489057087389700,18370,6492
822462944365645825,28352,14508
822244816520155136,35339,10016
822163064745328640,0,4843
821886076407029760,11456,2351
821813639212650496,0,3400
821765923262631936,8502,1678
821522889702862852,8129,1790
821421320206483457,0,5674
821407182352777218,11915,4402
821153421864615936,258,10
821149554670182400,8745,2021
821107785811234820,9709,2166
821044531881721856,12808,2314
820837357901512704,0,6836
820749716845686786,31962,10039
820690176645140481,12354,3281
820494788566847489,0,572
820446719150292993,0,2606
820314633777061888,3387,572
820078625395449857,20059,6390
820013781606658049,0,1194
819952236453363712,5401,1194
819924195358416896,13059,4942
819711362133872643,13565,3165
819588359383371776,9757,2019
819347104292290561,7310,1227
819238181065359361,2300,412
819227688460238848,23374,6836
819015337530290176,0,37404
819015331746349057,0,19245
819006400881917954,45862,19245
819004803107983360,88015,37404
818646164899774465,0,21345
818627210458333184,22710,7658
818614493328580609,9980,2609
818588835076603904,0,6255
818536468981415936,11041,2502
818307523543449600,0,8227
818259473185828864,11169,2307
818145370475810820,12463,2614
817908911860748288,4930,818
817827839487737858,52408,27515
817777686764523521,10899,2738
817536400337801217,11942,3020
817502432452313088,0,3450
817423860136083457,34358,14978
817415592588222464,5690,968
817181837579653120,0,8609
817171292965273600,8896,2060
817120970343411712,12384,2646
817056546584727552,8714,1674
816829038950027264,0,4788
816816676327063552,10167,2077
816697700272001025,9944,2236
816450570814898180,30923,8227
816336735214911488,8732,1980
816091915477250048,9062,2182
816062466425819140,0,1041
816014286006976512,0,5376
815990720817401858,5035,1041
